codigo,descricao,periodo,valor,arquivo
11,ACP total (%),2024-12-26,0.0125,anexo-pilar3-circular-3930-q4-2025.xlsx
12,Margem excedente de Capital Principal (%),2024-12-26,0.089,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
12,Margem excedente de Capital Principal (%),2024-12-26,0.089,anexo-pilar3-circular-3930-q4-2025.xlsx
12a,Margem excedente de Capital Principal (%) considerando o Capital Principal conforme linha 1a,2024-12-26,0.089,anexo-pilar3-circular-3930-q4-2025.xlsx
1a,"Capital Principal corresponde à linha 1 deduzindo, conforme aplicável, o valor estabelecido pelo:
- art. 4º, caput, inciso I, alínea “i”, e §§ 8º e 9º, da Resolução CMN nº 4.955, de 21 de outubro de 2021; ou
- art. 3º, caput, inciso I, alínea “i”, §§ 8º e 9º, da Resolução BCB nº 199, de 11 de março de 2022.",2024-12-26,18156195334.0,anexo-pilar3-circular-3930-q4-2025.xlsx
2,Nível I,2024-12-26,20064519940.0,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
2,Nível I,2024-12-26,20064519940.0,anexo-pilar3-circular-3930-q4-2025.xlsx
2a,Nível I considerando a apuração do Capital Principal conforme linha 1a ,2024-12-26,20064519940.0,anexo-pilar3-circular-3930-q4-2025.xlsx
3,Patrimônio de Referência (PR),2024-12-26,22408544502.0,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
3,Patrimônio de Referência (PR),2024-12-26,22408544502.0,anexo-pilar3-circular-3930-q4-2025.xlsx
3a,Patrimônio de Referência (PR) considerando a apuração do Capital Principal conforme linha 1a ,2024-12-26,22408544502.0,anexo-pilar3-circular-3930-q4-2025.xlsx
4,RWA total,2024-12-26,123915743421.0,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
4,RWA total,2024-12-26,123915743421.0,anexo-pilar3-circular-3930-q4-2025.xlsx
4b,"RWA corresponde à linha 4 deduzindo, conforme aplicável, o valor referente ao inciso XII do caput do art. 4º ponderado pelo Fator de Ponderação de Risco (FPR) estabelecido no art. 82-A, ambos os comandos da Resolução 229, de 12 de maio de 2022.",2024-12-26,123915743421.0,anexo-pilar3-circular-3930-q4-2025.xlsx
5,Índice de Capital Principal (ICP),2024-12-26,0.1465,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
5,Índice de Capital Principal (ICP),2024-12-26,0.1465,anexo-pilar3-circular-3930-q4-2025.xlsx
5a,"Índice de Capital Principal (ICP) considerando: 
- Numerador: corresponde à linha 1a 
- Denominador: corresponde à linha 4b",2024-12-26,0.1465,anexo-pilar3-circular-3930-q4-2025.xlsx
6,Índice de Nível 1 (%),2024-12-26,0.1619,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
6,Índice de Nível 1 (%),2024-12-26,0.1619,anexo-pilar3-circular-3930-q4-2025.xlsx
6a,"Índice de Nível 1, considerando:
- Numerador: corresponde à linha 2a
- Denominador: corresponde à linha 4b",2024-12-26,0.1619,anexo-pilar3-circular-3930-q4-2025.xlsx
7,Índice de Basileia,2024-12-26,0.1808,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
7,Índice de Basileia,2024-12-26,0.1808,anexo-pilar3-circular-3930-q4-2025.xlsx
7a,"Índice de Basileia, considerando:
- Numerador: corresponde à linha 3a
- Denominador: corresponde à linha 4b",2024-12-26,0.1808,anexo-pilar3-circular-3930-q4-2025.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2024-12-26,0.0125,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2024-12-26,0.0125,anexo-pilar3-circular-3930-q4-2025.xlsx
1,Capital Principal,2024-12-31,18156195334.0,anexo-pilar3-circular-3930-q4-2024.xlsx
10,Adicional de Importância Sistêmica de Capital Principal - ACPSistêmico (%),2024-12-31,0.0,anexo-pilar3-circular-3930-q4-2024.xlsx
11,ACP total (%),2024-12-31,0.0125,anexo-pilar3-circular-3930-q4-2024.xlsx
12,Margem excedente de Capital Principal (%),2024-12-31,0.089,anexo-pilar3-circular-3930-q4-2024.xlsx
2,Nível I,2024-12-31,20064519940.0,anexo-pilar3-circular-3930-q4-2024.xlsx
3,Patrimônio de Referência (PR),2024-12-31,22408544502.0,anexo-pilar3-circular-3930-q4-2024.xlsx
4,RWA total,2024-12-31,123915743421.0,anexo-pilar3-circular-3930-q4-2024.xlsx
5,Índice de Capital Principal (ICP),2024-12-31,0.1465,anexo-pilar3-circular-3930-q4-2024.xlsx
6,Índice de Nível 1 (%),2024-12-31,0.1619,anexo-pilar3-circular-3930-q4-2024.xlsx
7,Índice de Basileia,2024-12-31,0.1808,anexo-pilar3-circular-3930-q4-2024.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2024-12-31,0.0125,anexo-pilar3-circular-3930-q4-2024.xlsx
9,Adicional Contracíclico de Capital Principal - ACPContracíclico (%),2024-12-31,0.0,anexo-pilar3-circular-3930-q4-2024.xlsx
1,Capital Principal,2025-03-27,18679283414.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
1,Capital Principal,2025-03-27,18679283413.56,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
11,ACP total (%),2025-03-27,0.025,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
11,ACP total (%),2025-03-27,0.025,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
12,Margem excedente de Capital Principal (%),2025-03-27,0.0679,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
12,Margem excedente de Capital Principal (%),2025-03-27,0.0679,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
12a,Margem excedente de Capital Principal (%) considerando o Capital Principal conforme linha 1a,2025-03-27,0.0576,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
12a,Margem excedente de Capital Principal (%) considerando o Capital Principal conforme linha 1a,2025-03-27,0.0576,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
1a,"Capital Principal corresponde à linha 1 deduzindo, conforme aplicável, o valor estabelecido pelo:
- art. 4º, caput, inciso I, alínea “i”, e §§ 8º e 9º, da Resolução CMN nº 4.955, de 21 de outubro de 2021; ou
- art. 3º, caput, inciso I, alínea “i”, §§ 8º e 9º, da Resolução BCB nº 199, de 11 de março de 2022.",2025-03-27,17074002385.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
1a,"Capital Principal corresponde à linha 1 deduzindo, conforme aplicável, o valor estabelecido pelo:
- art. 4º, caput, inciso I, alínea “i”, e §§ 8º e 9º, da Resolução CMN nº 4.955, de 21 de outubro de 2021; ou
- art. 3º, caput, inciso I, alínea “i”, §§ 8º e 9º, da Resolução BCB nº 199, de 11 de março de 2022.",2025-03-27,17074002385.0,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
2,Nível I,2025-03-27,20489914069.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
2,Nível I,2025-03-27,20489914069.41,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
2a,Nível I considerando a apuração do Capital Principal conforme linha 1a ,2025-03-27,18884633040.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
2a,Nível I considerando a apuração do Capital Principal conforme linha 1a ,2025-03-27,18884633040.0,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
3,Patrimônio de Referência (PR),2025-03-27,22830432227.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
3,Patrimônio de Referência (PR),2025-03-27,22830432227.31,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
3a,Patrimônio de Referência (PR) considerando a apuração do Capital Principal conforme linha 1a ,2025-03-27,21225151198.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
3a,Patrimônio de Referência (PR) considerando a apuração do Capital Principal conforme linha 1a ,2025-03-27,21225151198.0,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
4,RWA total,2025-03-27,135437827025.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
4,RWA total,2025-03-27,135437827025.0,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
4b,"RWA corresponde à linha 4 deduzindo, conforme aplicável, o valor referente ao inciso XII do caput do art. 4º ponderado pelo Fator de Ponderação de Risco (FPR) estabelecido no art. 82-A, ambos os comandos da Resolução 229, de 12 de maio de 2022.",2025-03-27,133832545996.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
4b,"RWA corresponde à linha 4 deduzindo, conforme aplicável, o valor referente ao inciso XII do caput do art. 4º ponderado pelo Fator de Ponderação de Risco (FPR) estabelecido no art. 82-A, ambos os comandos da Resolução 229, de 12 de maio de 2022.",2025-03-27,133832545996.0,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
5,Índice de Capital Principal (ICP),2025-03-27,0.1379,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
5,Índice de Capital Principal (ICP),2025-03-27,0.1379,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
5a,"Índice de Capital Principal (ICP) considerando: 
- Numerador: corresponde à linha 1a 
- Denominador: corresponde à linha 4b",2025-03-27,0.1276,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
5a,"Índice de Capital Principal (ICP) considerando: 
- Numerador: corresponde à linha 1a 
- Denominador: corresponde à linha 4b",2025-03-27,0.1275773561500527,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
6,Índice de Nível 1 (%),2025-03-27,0.1513,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
6,Índice de Nível 1 (%),2025-03-27,0.1513,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
6a,"Índice de Nível 1, considerando:
- Numerador: corresponde à linha 2a
- Denominador: corresponde à linha 4b",2025-03-27,0.1411,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
6a,"Índice de Nível 1, considerando:
- Numerador: corresponde à linha 2a
- Denominador: corresponde à linha 4b",2025-03-27,0.14110643191802108,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
7,Índice de Basileia,2025-03-27,0.1686,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
7,Índice de Basileia,2025-03-27,0.1686,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
7a,"Índice de Basileia, considerando:
- Numerador: corresponde à linha 3a
- Denominador: corresponde à linha 4b",2025-03-27,0.1586,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
7a,"Índice de Basileia, considerando:
- Numerador: corresponde à linha 3a
- Denominador: corresponde à linha 4b",2025-03-27,0.15859483984287634,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2025-03-27,0.025,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2025-03-27,0.025,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
1,Capital Principal,2025-03-29,18679283414.0,anexo-pilar3-circular-3930-q4-2025.xlsx
11,ACP total (%),2025-03-29,0.025,anexo-pilar3-circular-3930-q4-2025.xlsx
12,Margem excedente de Capital Principal (%),2025-03-29,0.0679,anexo-pilar3-circular-3930-q4-2025.xlsx
12a,Margem excedente de Capital Principal (%) considerando o Capital Principal conforme linha 1a,2025-03-29,0.0576,anexo-pilar3-circular-3930-q4-2025.xlsx
1a,"Capital Principal corresponde à linha 1 deduzindo, conforme aplicável, o valor estabelecido pelo:
- art. 4º, caput, inciso I, alínea “i”, e §§ 8º e 9º, da Resolução CMN nº 4.955, de 21 de outubro de 2021; ou
- art. 3º, caput, inciso I, alínea “i”, §§ 8º e 9º, da Resolução BCB nº 199, de 11 de março de 2022.",2025-03-29,17074002385.0,anexo-pilar3-circular-3930-q4-2025.xlsx
2,Nível I,2025-03-29,20489914069.0,anexo-pilar3-circular-3930-q4-2025.xlsx
2a,Nível I considerando a apuração do Capital Principal conforme linha 1a ,2025-03-29,18884633040.0,anexo-pilar3-circular-3930-q4-2025.xlsx
3,Patrimônio de Referência (PR),2025-03-29,22830432227.0,anexo-pilar3-circular-3930-q4-2025.xlsx
3a,Patrimônio de Referência (PR) considerando a apuração do Capital Principal conforme linha 1a ,2025-03-29,21225151198.0,anexo-pilar3-circular-3930-q4-2025.xlsx
4,RWA total,2025-03-29,135437827025.0,anexo-pilar3-circular-3930-q4-2025.xlsx
4b,"RWA corresponde à linha 4 deduzindo, conforme aplicável, o valor referente ao inciso XII do caput do art. 4º ponderado pelo Fator de Ponderação de Risco (FPR) estabelecido no art. 82-A, ambos os comandos da Resolução 229, de 12 de maio de 2022.",2025-03-29,133832545996.0,anexo-pilar3-circular-3930-q4-2025.xlsx
5,Índice de Capital Principal (ICP),2025-03-29,0.1379,anexo-pilar3-circular-3930-q4-2025.xlsx
5a,"Índice de Capital Principal (ICP) considerando: 
- Numerador: corresponde à linha 1a 
- Denominador: corresponde à linha 4b",2025-03-29,0.1276,anexo-pilar3-circular-3930-q4-2025.xlsx
6,Índice de Nível 1 (%),2025-03-29,0.1513,anexo-pilar3-circular-3930-q4-2025.xlsx
6a,"Índice de Nível 1, considerando:
- Numerador: corresponde à linha 2a
- Denominador: corresponde à linha 4b",2025-03-29,0.1411,anexo-pilar3-circular-3930-q4-2025.xlsx
7,Índice de Basileia,2025-03-29,0.1686,anexo-pilar3-circular-3930-q4-2025.xlsx
7a,"Índice de Basileia, considerando:
- Numerador: corresponde à linha 3a
- Denominador: corresponde à linha 4b",2025-03-29,0.1586,anexo-pilar3-circular-3930-q4-2025.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2025-03-29,0.025,anexo-pilar3-circular-3930-q4-2025.xlsx
1,Capital Principal,2025-03-31,18679283414.0,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
11,ACP total (%),2025-03-31,0.025,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
12,Margem excedente de Capital Principal (%),2025-03-31,0.0679,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
2,Nível I,2025-03-31,20489914069.0,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
3,Patrimônio de Referência (PR),2025-03-31,22830432227.0,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
4,RWA total,2025-03-31,135437827025.0,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
5,Índice de Capital Principal (ICP),2025-03-31,0.1379,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
6,Índice de Nível 1 (%),2025-03-31,0.1513,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
7,Índice de Basileia,2025-03-31,0.1686,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2025-03-31,0.025,anexo-pilar3-circular-3930-q1-2025__1_.xlsx
1,Capital Principal,2025-06-30,18331501338.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
1,Capital Principal,2025-06-30,18331501337.85,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
1,Capital Principal,2025-06-30,18331501338.0,anexo-pilar3-circular-3930-q4-2025.xlsx
11,ACP total (%),2025-06-30,0.025,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
11,ACP total (%),2025-06-30,0.025,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
11,ACP total (%),2025-06-30,0.025,anexo-pilar3-circular-3930-q4-2025.xlsx
12,Margem excedente de Capital Principal (%),2025-06-30,0.0587,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
12,Margem excedente de Capital Principal (%),2025-06-30,0.0587,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
12,Margem excedente de Capital Principal (%),2025-06-30,0.0587,anexo-pilar3-circular-3930-q4-2025.xlsx
12a,Margem excedente de Capital Principal (%) considerando o Capital Principal conforme linha 1a,2025-06-30,0.0488,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
12a,Margem excedente de Capital Principal (%) considerando o Capital Principal conforme linha 1a,2025-06-30,0.0488,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
12a,Margem excedente de Capital Principal (%) considerando o Capital Principal conforme linha 1a,2025-06-30,0.0488,anexo-pilar3-circular-3930-q4-2025.xlsx
1a,"Capital Principal corresponde à linha 1 deduzindo, conforme aplicável, o valor estabelecido pelo:
- art. 4º, caput, inciso I, alínea “i”, e §§ 8º e 9º, da Resolução CMN nº 4.955, de 21 de outubro de 2021; ou
- art. 3º, caput, inciso I, alínea “i”, §§ 8º e 9º, da Resolução BCB nº 199, de 11 de março de 2022.",2025-06-30,16726220309.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
1a,"Capital Principal corresponde à linha 1 deduzindo, conforme aplicável, o valor estabelecido pelo:
- art. 4º, caput, inciso I, alínea “i”, e §§ 8º e 9º, da Resolução CMN nº 4.955, de 21 de outubro de 2021; ou
- art. 3º, caput, inciso I, alínea “i”, §§ 8º e 9º, da Resolução BCB nº 199, de 11 de março de 2022.",2025-06-30,16726220309.0,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
1a,"Capital Principal corresponde à linha 1 deduzindo, conforme aplicável, o valor estabelecido pelo:
- art. 4º, caput, inciso I, alínea “i”, e §§ 8º e 9º, da Resolução CMN nº 4.955, de 21 de outubro de 2021; ou
- art. 3º, caput, inciso I, alínea “i”, §§ 8º e 9º, da Resolução BCB nº 199, de 11 de março de 2022.",2025-06-30,16726220309.0,anexo-pilar3-circular-3930-q4-2025.xlsx
2,Nível I,2025-06-30,20215624288.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
2,Nível I,2025-06-30,20215624288.21,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
2,Nível I,2025-06-30,20215624288.0,anexo-pilar3-circular-3930-q4-2025.xlsx
2a,Nível I considerando a apuração do Capital Principal conforme linha 1a ,2025-06-30,18610343259.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
2a,Nível I considerando a apuração do Capital Principal conforme linha 1a ,2025-06-30,18610343259.0,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
2a,Nível I considerando a apuração do Capital Principal conforme linha 1a ,2025-06-30,18610343259.0,anexo-pilar3-circular-3930-q4-2025.xlsx
3,Patrimônio de Referência (PR),2025-06-30,22644620111.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
3,Patrimônio de Referência (PR),2025-06-30,22644620111.02,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
3,Patrimônio de Referência (PR),2025-06-30,22644620111.0,anexo-pilar3-circular-3930-q4-2025.xlsx
3a,Patrimônio de Referência (PR) considerando a apuração do Capital Principal conforme linha 1a ,2025-06-30,21039339082.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
3a,Patrimônio de Referência (PR) considerando a apuração do Capital Principal conforme linha 1a ,2025-06-30,21039339082.0,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
3a,Patrimônio de Referência (PR) considerando a apuração do Capital Principal conforme linha 1a ,2025-06-30,21039339082.0,anexo-pilar3-circular-3930-q4-2025.xlsx
4,RWA total,2025-06-30,142412584712.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
4,RWA total,2025-06-30,142412584712.0,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
4,RWA total,2025-06-30,142412584712.0,anexo-pilar3-circular-3930-q4-2025.xlsx
4b,"RWA corresponde à linha 4 deduzindo, conforme aplicável, o valor referente ao inciso XII do caput do art. 4º ponderado pelo Fator de Ponderação de Risco (FPR) estabelecido no art. 82-A, ambos os comandos da Resolução 229, de 12 de maio de 2022.",2025-06-30,140807303683.0,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
4b,"RWA corresponde à linha 4 deduzindo, conforme aplicável, o valor referente ao inciso XII do caput do art. 4º ponderado pelo Fator de Ponderação de Risco (FPR) estabelecido no art. 82-A, ambos os comandos da Resolução 229, de 12 de maio de 2022.",2025-06-30,140807303683.0,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
4b,"RWA corresponde à linha 4 deduzindo, conforme aplicável, o valor referente ao inciso XII do caput do art. 4º ponderado pelo Fator de Ponderação de Risco (FPR) estabelecido no art. 82-A, ambos os comandos da Resolução 229, de 12 de maio de 2022.",2025-06-30,140807303683.0,anexo-pilar3-circular-3930-q4-2025.xlsx
5,Índice de Capital Principal (ICP),2025-06-30,0.1287,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
5,Índice de Capital Principal (ICP),2025-06-30,0.1287,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
5,Índice de Capital Principal (ICP),2025-06-30,0.1287,anexo-pilar3-circular-3930-q4-2025.xlsx
5a,"Índice de Capital Principal (ICP) considerando: 
- Numerador: corresponde à linha 1a 
- Denominador: corresponde à linha 4b",2025-06-30,0.1188,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
5a,"Índice de Capital Principal (ICP) considerando: 
- Numerador: corresponde à linha 1a 
- Denominador: corresponde à linha 4b",2025-06-30,0.1187880164700533,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
5a,"Índice de Capital Principal (ICP) considerando: 
- Numerador: corresponde à linha 1a 
- Denominador: corresponde à linha 4b",2025-06-30,0.1188,anexo-pilar3-circular-3930-q4-2025.xlsx
6,Índice de Nível 1 (%),2025-06-30,0.142,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
6,Índice de Nível 1 (%),2025-06-30,0.142,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
6,Índice de Nível 1 (%),2025-06-30,0.142,anexo-pilar3-circular-3930-q4-2025.xlsx
6a,"Índice de Nível 1, considerando:
- Numerador: corresponde à linha 2a
- Denominador: corresponde à linha 4b",2025-06-30,0.1322,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
